CustomerID,Age,Salary,Gender,Country
1,72,20000,Male,Germany
2,72,22000,Female,France
3,70,24000,Female,England
4,75,2600,Male,England
5,33,50000,Male,France
6,52,35000,Female,England
7,31,4300,Male,Germany
8,37,32000,Female,France
9,76,35000,Male,Germany
10,58,37000,Female,France
11,70,25000,Male,Germany
12,28,27000,Female,France
13,21,29000,Female,England
14,34,7600,Male,England
15,45,55000,Male,France
16,32,40000,Female,England
17,62,9300,Male,Germany
18,54,37000,Female,France
19,33,40000,Male,Germany
20,46,42000,Female,France
21,31,30000,Female,France
22,20,32000,Female,France
23,29,34000,Female,France
24,56,12600,Female,Germany
25,34,60000,Female,Germany
26,28,45000,Female,Germany
27,26,14300,Male,Germany
28,66,42000,Male,Germany
29,29,45000,Male,England
30,22,47000,Male,England
31,52,35000,Male,England
32,76,37000,Male,England
33,66,39000,Male,England
34,46,17600,Male,England
35,52,65000,Male,England
36,41,50000,Female,England
37,40,19300,Female,England
38,49,29000,Male,England
39,71,7600,Male,England
40,60,55000,Female,Germany
41,39,40000,Male,Germany
42,61,9300,Female,Germany
43,49,37000,Male,England
44,73,40000,Female,England
45,75,42000,Male,England
46,73,30000,Female,England
47,33,32000,Female,England
48,64,34000,Male,England
49,50,12600,Male,Germany
50,69,60000,Female,Germany
51,51,45000,Male,Germany
52,75,14300,Female,England
53,45,42000,Male,England
54,70,45000,Female,England
55,25,47000,Male,England
56,74,35000,Female,England
57,36,37000,Female,England
58,52,39000,Male,France
59,38,17600,Male,France
60,35,65000,Female,France
61,55,50000,Male,France
62,27,19300,Female,France
63,40,29000,Male,France
64,40,7600,Female,France
65,32,55000,Female,Germany
66,21,40000,Female,France
67,52,9300,Female,England
68,73,37000,Female,England
69,22,40000,Female,France
70,21,42000,Female,England
71,66,30000,Male,Germany
72,31,32000,Male,France
73,62,34000,Male,Germany
74,50,12600,Male,France
75,49,60000,Male,Germany
76,58,45000,Male,France
77,49,14300,Male,England
78,60,42000,Male,England
79,22,45000,Male,France
80,80,47000,Female,England
81,54,35000,Female,Germany
82,65,37000,Male,France
83,64,39000,Male,Germany
84,50,17600,Female,France
85,52,65000,Male,France
86,30,50000,Female,France
87,41,19300,Male,France
88,33,29000,Female,Germany
89,44,7600,Male,Germany
90,45,55000,Female,Germany
91,53,40000,Female,Germany
92,51,9300,Male,Germany
93,34,37000,Male,England
94,57,40000,Female,England
95,51,42000,Male,England
96,62,30000,Female,England
97,35,32000,Male,England
98,26,34000,Female,England
99,78,12600,Male,England
100,38,60000,Female,England
101,66,45000,Female,England
102,60,14300,Male,England
103,70,42000,Male,England
104,30,45000,Female,Germany
105,54,47000,Male,Germany
106,24,35000,Female,Germany
107,63,37000,Male,England
108,74,39000,Female,England
109,36,17600,Female,England
110,53,65000,Female,England
111,60,50000,Female,England
112,52,19300,Female,England
113,28,29000,Female,Germany
114,37,7600,Female,Germany
115,64,55000,Male,Germany
116,37,40000,Male,England
117,69,9300,Male,England
118,73,37000,Male,England
119,44,40000,Male,England
120,21,42000,Male,England
121,41,30000,Male,England
122,68,32000,Male,France
123,46,34000,Male,France
124,70,12600,Female,France
125,57,60000,Female,France
126,54,45000,Male,France
127,36,14300,Male,France
128,20,42000,Female,France
129,41,45000,Male,Germany
130,69,47000,Female,France
131,45,35000,Male,England
132,55,37000,Female,England
133,63,39000,Male,France
134,41,17600,Female,England
135,41,65000,Female,Germany
136,80,50000,Male,France
137,46,19300,Male,Germany
138,30,29000,Female,France
139,39,7600,Male,Germany
140,61,55000,Female,France
141,25,40000,Male,England
142,24,9300,Female,England
143,60,37000,Male,France
144,52,40000,Female,England
145,64,42000,Female,Germany
146,41,30000,Male,France
147,44,32000,Male,Germany
148,47,34000,Female,France
149,44,12600,Male,France
150,45,60000,Female,France
151,64,45000,Male,France
152,75,14300,Female,Germany
153,36,42000,Female,Germany
154,41,45000,Female,Germany
155,48,47000,Female,Germany
156,28,35000,Female,Germany
157,51,37000,Female,England
158,47,39000,Female,England
159,59,17600,Male,England
160,73,65000,Male,England
161,35,50000,Male,England
162,48,19300,Male,England
163,61,29000,Male,England
164,78,7600,Male,England
165,47,55000,Male,England
166,68,40000,Male,England
167,46,9300,Male,England
168,67,37000,Female,Germany
169,34,40000,Female,Germany
170,22,42000,Male,Germany
171,49,30000,Male,England
172,55,32000,Female,England
173,63,34000,Male,England
174,34,12600,Female,England
175,48,60000,Male,England
176,22,45000,Female,England
177,41,14300,Male,Germany
178,43,42000,Female,Germany
179,68,45000,Female,Germany
180,45,47000,Male,England
181,72,35000,Male,England
182,57,37000,Female,England
183,66,39000,Male,England
184,23,17600,Female,England
185,44,65000,Male,England
186,67,50000,Female,France
187,46,19300,Male,France
188,36,29000,Female,France
189,34,7600,Female,France
190,38,55000,Male,France
191,77,40000,Male,France
192,49,9300,Female,France
193,65,37000,Male,Germany
194,20,40000,Female,France
195,37,42000,Male,England
196,31,30000,Female,England
197,36,32000,Female,France
198,63,34000,Female,England
199,24,12600,Female,Germany
200,74,60000,Female,France
201,57,45000,Female,Germany
202,49,14300,Female,France
203,57,42000,Male,Germany
204,37,45000,Male,France
205,63,47000,Male,England
206,71,35000,Male,England
207,34,37000,Male,France
208,78,39000,Male,England
209,34,17600,Male,Germany
210,72,65000,Male,France
211,37,50000,Male,Germany
212,34,19300,Female,France
213,66,29000,Female,France
214,28,7600,Male,France
215,42,55000,Male,France
216,72,40000,Female,Germany
217,80,9300,Male,Germany
218,60,37000,Female,Germany
219,72,40000,Male,Germany
220,23,42000,Female,Germany
221,35,30000,Male,England
222,77,32000,Female,England
223,34,34000,Female,England
224,68,12600,Male,England
225,45,60000,Male,England
226,45,45000,Female,England
227,75,14300,Male,England
228,73,42000,Female,England
229,58,45000,Male,England
230,62,47000,Female,England
231,34,35000,Male,England
232,34,37000,Female,Germany
233,41,39000,Female,Germany
234,77,17600,Male,Germany
235,26,65000,Male,England
236,75,50000,Female,England
237,77,19300,Male,England
238,25,29000,Female,England
239,74,7600,Male,England
240,24,55000,Female,England
241,79,40000,Female,Germany
242,65,9300,Female,Germany
243,60,37000,Female,Germany
244,26,40000,Female,England
245,70,42000,Female,England
246,60,30000,Female,England
247,44,32000,Male,England
248,58,34000,Male,England
249,42,12600,Male,England
250,78,60000,Male,France
251,26,45000,Male,France
252,37,14300,Male,France
253,63,42000,Male,France
254,35,45000,Male,France
255,63,47000,Male,France
256,39,35000,Female,France
257,34,37000,Female,Germany
258,55,39000,Male,France
259,32,17600,Male,England
260,49,65000,Female,England
